"","FighterID","Fighter","Result","Opponent","Event","Method","Round","Time","Date"
"7140",218,"Fabiano Iha","win","Phil Johns","UFC 30 - Battle on the BoardwalkFeb / 23 / 2001","Submission (Armbar)John McCarthy","1","2:05",2001-02-23
"8131",218,"Fabiano Iha","win","Daiju Takase","UFC 29 - Defense of the BeltsDec / 16 / 2000","TKO (Strikes)John McCarthy","1","2:24",2000-12-16
"9121",218,"Fabiano Iha","win","LaVerne Clark","UFC 27 - Ultimate Bad BoyzSep / 22 / 2000","Submission (Armbar)John McCarthy","1","1:10",2000-09-22
"10117",218,"Fabiano Iha","win","Danny Bennett","KOTC 4 - GladiatorsJun / 24 / 2000","Submission (Armbar)N/A","1","0:49",2000-06-24
"11113",218,"Fabiano Iha","loss","Dave Menne","UFC 24 - First DefenseMar / 10 / 2000","Decision (Unanimous)John McCarthy","3","5:00",2000-03-10
"12104",218,"Fabiano Iha","loss","Frank Trigg","Pride FC - Pride 8Nov / 21 / 1999","TKO (Punches)Keiji Shiozaki","1","5:00",1999-11-21
"1392",218,"Fabiano Iha","loss","LaVerne Clark","UFC 20 - Battle for the GoldMay / 07 / 1999","TKO (Doctor Stoppage)John McCarthy","1","1:31",1999-05-07
"1487",218,"Fabiano Iha","win","Cleber Luciano","EC 22 - Extreme Challenge 22Nov / 21 / 1998","KO (Punch)N/A","1","7:57",1998-11-21
"1580",218,"Fabiano Iha","win","Yves Edwards","EC 22 - Extreme Challenge 22Nov / 21 / 1998","Submission (Armbar)N/A","1","3:56",1998-11-21
"1680",218,"Fabiano Iha","win","John Borsos","NG 5 - Neutral Grounds 5Jun / 28 / 1998","Submission (Armbar)N/A","1","0:25",1998-06-28
"2405",219,"Marcelo Mello","win","Dave Roberts","UFC 20 - Battle for the GoldMay / 07 / 1999","TKO (Punches)John McCarthy","1","1:23",1999-05-07
"2406",220,"Dave Roberts","win","Chris Skoglund","KOTC - ConnectionJul / 18 / 2009","Submission (Rear-Naked Choke)N/A","1","2:30",2009-07-18
"3285",220,"Dave Roberts","loss","Brett Chism","ISCF - Summer Heat 2009Jun / 20 / 2009","TKO (Punches)N/A","1","4:00",2009-06-20
"4229",220,"Dave Roberts","loss","Andy Herrera","NLF - No Limits FightingAug / 11 / 2007","TKON/A","1","1:27",2007-08-11
"5174",220,"Dave Roberts","loss","Reggie Orr","KOTC - SinisterApr / 27 / 2007","TKON/A","2","1:31",2007-04-27
"6154",220,"Dave Roberts","loss","Art Santore","KOTC 17 - Nuclear ExplosionOct / 19 / 2002","TKO (Submission to Punches)N/A","1","2:52",2002-10-19
"7141",220,"Dave Roberts","loss","Akira Shoji","KOTC 13 - RevolutionMay / 17 / 2002","Submission (Armbar)Nelson Hamilton","2","4:46",2002-05-17
"8132",220,"Dave Roberts","loss","Jeff Myers","GC 4 - Collision at ColusaJun / 17 / 2001","DecisionN/A","2","5:00",2001-06-17
"9122",220,"Dave Roberts","win","Robbie Newman","CFA 2 - Continental Freefighting Alliance 2Jul / 19 / 2000","Submission (Rear-Naked Choke)N/A","1","6:52",2000-07-19
"10118",220,"Dave Roberts","win","Pete Rossi","KOTC 4 - GladiatorsJun / 24 / 2000","TKO (Punches)N/A","1","1:28",2000-06-24
"11114",220,"Dave Roberts","loss","Joe Stevenson","HBUP - Huntington Beach Underground PancraseMay / 13 / 2000","SubmissionN/A","1","N/A",2000-05-13
"12105",220,"Dave Roberts","win","Daryle Burkey","CFA 1 - Collision at the CrossroadsMar / 25 / 2000","Submission (Choke)N/A","1","5:23",2000-03-25
"1393",220,"Dave Roberts","win","Reggie Cardiel","CFF - The Cobra Challenge 1999Dec / 11 / 1999","TKO (Submission to Punches)N/A","1","2:08",1999-12-11
"1488",220,"Dave Roberts","loss","Marcelo Mello","UFC 20 - Battle for the GoldMay / 07 / 1999","TKO (Punches)John McCarthy","1","1:23",1999-05-07
"2407",221,"Tony Petarra","win","Ron Cushen","KOTC 37 - Unfinished BusinessJun / 12 / 2004","TKO (Punches)N/A","1","1:30",2004-06-12
"3286",221,"Tony Petarra","loss","Wes Combs","KOTC 29 - RenegadesSep / 05 / 2003","KO (Punches)N/A","1","1:22",2003-09-05
"4230",221,"Tony Petarra","loss","Masakatsu Funaki","Pancrase - 1999 Anniversary ShowSep / 18 / 1999","TKO (Submission to Punches)Soichi Hiroto","1","1:16",1999-09-18
"5175",221,"Tony Petarra","loss","Wanderlei Silva","UFC 20 - Battle for the GoldMay / 07 / 1999","KO (Knee)John McCarthy","1","2:53",1999-05-07
"6155",221,"Tony Petarra","win","Aaron Pendleton","SB 9 - SuperBrawl 9Sep / 19 / 1998","Submission (Rear-Naked Choke)N/A","1","1:10",1998-09-19
"7142",221,"Tony Petarra","draw","Jason Rice","CFF - The Cobra PremierJun / 08 / 1998","DrawN/A","1","10:00",1998-06-08
"2408",222,"Eugene Jackson","loss","Joe Riggs","Strikeforce - Playboy MansionSep / 29 / 2007","KO (Punches)N/A","1","3:56",2007-09-29
"3287",222,"Eugene Jackson","win","Ronald Jhun","Strikeforce - Triple ThreatDec / 08 / 2006","Submission (Rear-Naked Choke)N/A","1","2:01",2006-12-08
"4231",222,"Eugene Jackson","win","Mike Seal","Strikeforce - RevengeJun / 09 / 2006","TKO (Punches)N/A","2","2:49",2006-06-09
"5176",222,"Eugene Jackson","win","Jorge Ortiz","Strikeforce - Shamrock vs. GracieMar / 10 / 2006","Decision (Unanimous)N/A","3","5:00",2006-03-10
"6156",222,"Eugene Jackson","loss","Tony Fryklund","Battleground 1 - War CryJul / 19 / 2003","TKO (Guillotine Choke)N/A","1","3:38",2003-07-19
"7143",222,"Eugene Jackson","loss","Mark Weir","UFC 38 - Brawl at the HallJul / 13 / 2002","KO (Punch)N/A","1","0:10",2002-07-13
"8133",222,"Eugene Jackson","win","Keith Rockel","UFC 35 - ThrowdownJan / 11 / 2002","Submission (Guillotine Choke)N/A","2","3:46",2002-01-11
"9123",222,"Eugene Jackson","loss","Ricardo Almeida","UFC 33 - Victory in VegasSep / 28 / 2001","Submission (Triangle Choke)N/A","1","4:06",2001-09-28
"10119",222,"Eugene Jackson","loss","Jeremy Horn","UFC 27 - Ultimate Bad BoyzSep / 22 / 2000","Submission (Armbar)John McCarthy","1","4:32",2000-09-22
"11115",222,"Eugene Jackson","loss","Sanae Kikuta","UFC 25 - Ultimate Japan 3Apr / 14 / 2000","Submission (Armbar)John McCarthy","1","4:38",2000-04-14
"12106",222,"Eugene Jackson","win","Keiichiro Yamamiya","UFC 23 - Ultimate Japan 2Nov / 19 / 1999","KO (Punch)John McCarthy","3","3:12",1999-11-19
"1394",222,"Eugene Jackson","win","Royce Alger","UFC 21 - Return of the ChampionsJul / 16 / 1999","KO (Punch)John McCarthy","2","1:19",1999-07-16
"1489",222,"Eugene Jackson","loss","Wanderlei Silva","IVC 10 - World Class ChampionsApr / 27 / 1999","TKO (Submission to Punches)N/A","1","0:32",1999-04-27
"1582",222,"Eugene Jackson","win","Jake Laroche","WCNHBC - West Coast NHB Championships 2Feb / 28 / 1999","KO (Punches)N/A","1","8:17",1999-02-28
"1682",222,"Eugene Jackson","win","Joe Doerksen","BRI 1 - Bas Rutten Invitational 1Feb / 06 / 1999","Submission (Neck Crank)John Perretti","1","1:15",1999-02-06
"1777",222,"Eugene Jackson","win","Tom Bolger","BRI 1 - Bas Rutten Invitational 1Feb / 06 / 1999","Submission (Guillotine Choke)John Perretti","1","0:24",1999-02-06
"1876",222,"Eugene Jackson","win","Joe Riley","BRI 1 - Bas Rutten Invitational 1Feb / 06 / 1999","Submission (Choke)John Perretti","1","0:25",1999-02-06
"1974",222,"Eugene Jackson","win","Mark Walker","BRI 1 - Bas Rutten Invitational 1Feb / 06 / 1999","Submission (Forearm Choke)John Perretti","1","0:57",1999-02-06
"2064",222,"Eugene Jackson","draw","Beau Hershberger","NG 9 - Neutral Grounds 9Jan / 10 / 1999","DrawN/A","1","10:00",1999-01-10
"21132",222,"Eugene Jackson","win","Ronald Jhun","SB 8 - SuperBrawl 8Aug / 04 / 1998","Technical Submission (Forearm Choke)N/A","1","1:17",1998-08-04
"22120",222,"Eugene Jackson","win","Dustin Dawson","SB 8 - SuperBrawl 8Aug / 04 / 1998","Technical Submission (Rear-Naked Choke)N/A","1","0:19",1998-08-04
"23103",222,"Eugene Jackson","loss","Tim Lajcik","IFC WC 2 - Warriors Challenge 2May / 23 / 1998","Submission (Rear-Naked Choke)N/A","1","9:49",1998-05-23
"2459",222,"Eugene Jackson","win","Mason White","IFC WC 2 - Warriors Challenge 2May / 23 / 1998","Submission (Choke)N/A","1","2:40",1998-05-23
"2554",222,"Eugene Jackson","win","Toby Oberdine","IFC WC 2 - Warriors Challenge 2May / 23 / 1998","Submission (Rear-Naked Choke)N/A","1","2:31",1998-05-23
"2648",222,"Eugene Jackson","loss","M Wahyudi","IFC WC 1 - Warriors Challenge 1Mar / 21 / 1998","Submission (Armbar)N/A","0","0:00",1998-03-21
"2409",223,"Tim Lajcik","loss","Kimo Leopoldo","WFA 2 - Level 2Jul / 05 / 2002","TKO (Toe Injury)Cecil Peoples","1","1:55",2002-07-05
"3288",223,"Tim Lajcik","loss","Marcelo Alves Eneas Dantas","Pancrase - 2001 Anniversary ShowSep / 30 / 2001","TKO (Punches)N/A","1","1:34",2001-09-30
"4232",223,"Tim Lajcik","win","Osami Shibuya","Pancrase - 2001 Neo-Blood Tournament Second RoundJul / 29 / 2001","Decision (Unanimous)N/A","3","5:00",2001-07-29
"5177",223,"Tim Lajcik","win","Kengo Watanabe","Pancrase - Proof 2Mar / 31 / 2001","KO (Punches)Yoshinori Umeki","1","3:23",2001-03-31
"6157",223,"Tim Lajcik","loss","Jeff Monson","UFC 27 - Ultimate Bad BoyzSep / 22 / 2000","Decision (Unanimous)John McCarthy","2","5:00",2000-09-22
"7144",223,"Tim Lajcik","loss","Gan McGee","IFC WC 7 - Warriors Challenge 7May / 03 / 2000","TKO (Submission to Punches and Elbows)N/A","1","4:38",2000-05-03
"8134",223,"Tim Lajcik","win","Joe Campanella","IFC WC 7 - Warriors Challenge 7May / 03 / 2000","TKO (Punches)N/A","1","0:18",2000-05-03
"9124",223,"Tim Lajcik","loss","Borislav Jeliazkov","Rings - King of Kings 1999 Block BDec / 22 / 1999","Submission (Rear-Naked Choke)N/A","1","2:23",1999-12-22
"10120",223,"Tim Lajcik","draw","Ron Waterman","UFC 22 - There Can Be Only One ChampionSep / 24 / 1999","DrawJohn McCarthy","3","5:00",1999-09-24
"11116",223,"Tim Lajcik","loss","Tsuyoshi Kosaka","UFC 21 - Return of the ChampionsJul / 16 / 1999","TKO (Corner Stoppage)John McCarthy","2","5:00",1999-07-16
"12107",223,"Tim Lajcik","win","Mark Tullius","NG 9 - Neutral Grounds 9Jan / 10 / 1999","TKO (Submission to Punches)N/A","1","6:58",1999-01-10
"1395",223,"Tim Lajcik","win","Eugene Jackson","IFC WC 2 - Warriors Challenge 2May / 23 / 1998","Submission (Rear-Naked Choke)N/A","1","9:49",1998-05-23
"1490",223,"Tim Lajcik","win","David Ross","IFC WC 2 - Warriors Challenge 2May / 23 / 1998","TKON/A","1","5:36",1998-05-23
"1583",223,"Tim Lajcik","win","Paul Devich","IFC WC 2 - Warriors Challenge 2May / 23 / 1998","TKON/A","1","1:20",1998-05-23
"2460",224,"Paul Jones","win","Junior Baeza","USWF 18 - Unified Shoot Wrestling Federation 18Nov / 25 / 2000","Submission (Keylock)N/A","1","2:00",2000-11-25
"3289",224,"Paul Jones","loss","Chuck Liddell","UFC 22 - There Can Be Only One ChampionSep / 24 / 1999","TKO (Punches)John McCarthy","1","3:53",1999-09-24
"4233",224,"Paul Jones","win","Flavio Luiz Moura","UFC 21 - Return of the ChampionsJul / 16 / 1999","Submission (Rear-Naked Choke)John McCarthy","1","4:20",1999-07-16
"5178",224,"Paul Jones","win","Larry Parker","USWF 16 - Unified Shoot Wrestling Federation 16May / 22 / 1999","TKO (Submission to Strikes)N/A","1","11:37",1999-05-22
"6158",224,"Paul Jones","win","Sanae Kikuta","Shooto - Las Grandes Viajes 6Nov / 27 / 1998","Decision (Unanimous)N/A","3","5:00",1998-11-27
"7145",224,"Paul Jones","win","Bill Scott","USWF 12 - Unified Shoot Wrestling Federation 12Oct / 24 / 1998","Disqualification (Rope Grabbing)N/A","2","1:03",1998-10-24
"8135",224,"Paul Jones","win","Wayne Admire","USWF 11 - Unified Shoot Wrestling Federation 11Sep / 01 / 1998","Submission (Armbar)N/A","1","3:14",1998-09-01
"9125",224,"Paul Jones","win","David Davis","USWF 10 - Unified Shoot Wrestling Federation 10Jul / 25 / 1998","Submission (Rear-Naked Choke)N/A","1","2:50",1998-07-25
"10121",224,"Paul Jones","win","Juan Mott","USWF 9 - Unified Shoot Wrestling Federation 9Jun / 20 / 1998","DQN/A","1","8:00",1998-06-20
"11117",224,"Paul Jones","win","Tony Castillo","USWF 7 - Unified Shoot Wrestling Federation 7Oct / 18 / 1997","Submission (Rear-Naked Choke)N/A","1","12:17",1997-10-18
"12108",224,"Paul Jones","win","Erik Paulson","Shooto - Reconquista 3Aug / 27 / 1997","Decision (Majority)N/A","3","5:00",1997-08-27
"1396",224,"Paul Jones","win","Tony Castillo","USWF 6 - Unified Shoot Wrestling Federation 6Aug / 16 / 1997","Submission (Choke)N/A","1","7:12",1997-08-16
"1492",224,"Paul Jones","draw","Erik Paulson","EF 4 - Extreme Fighting 4Mar / 28 / 1997","DrawJohn Donehue","3","5:00",1997-03-28
"2462",225,"Flavio Luiz Moura","win","Kelles Albuquerque","MMAAD - MMA Against Dengue 2Mar / 04 / 2012","Decision (Unanimous)N/A","3","5:00",2012-03-04
"3290",225,"Flavio Luiz Moura","win","Marcos Alderete","MMAAD - MMA Against DengueNov / 27 / 2011","Submission (Anaconda Choke)N/A","1","1:15",2011-11-27
"4234",225,"Flavio Luiz Moura","win","Gilmar Silva Milhorance","TFN - Top Fight Night 5Jul / 27 / 2010","Submission (Guillotine Choke)N/A","1","0:39",2010-07-27
"5179",225,"Flavio Luiz Moura","loss","Rousimar Palhares","Fury FC 4 - High VoltageAug / 04 / 2007","Submission (Ankle Lock)N/A","1","1:21",2007-08-04
"6159",225,"Flavio Luiz Moura","win","Andre Ricardo dos Santos Goncalves","Fury FC 3 - ReloadedMay / 19 / 2007","Decision (Unanimous)N/A","3","5:00",2007-05-19
"7146",225,"Flavio Luiz Moura","win","Daijiro Matsui","Deep - 26 ImpactOct / 10 / 2006","Decision (Unanimous)N/A","2","5:00",2006-10-10
"8136",225,"Flavio Luiz Moura","loss","Leandro    Silva","TFMMA - Top Fighter MMAAug / 02 / 2006","TKO (Referee Stoppage)N/A","2","0:00",2006-08-02
"9126",225,"Flavio Luiz Moura","win","Fabricio Monteiro","Meca 12 - Meca World Vale Tudo 12Jul / 09 / 2005","Submission (Toe Hold)N/A","1","3:58",2005-07-09
"10122",225,"Flavio Luiz Moura","loss","Kazuo Misaki","Pancrase - Spiral 2Mar / 06 / 2005","Submission (North-South Choke)Yoshinori Umeki","2","2:13",2005-03-06
"11118",225,"Flavio Luiz Moura","loss","Andrei Semenov","M-1 MFC - Middleweight GPOct / 09 / 2004","Decision (Unanimous)N/A","3","5:00",2004-10-09
"12109",225,"Flavio Luiz Moura","win","Alexey Oleynik","M-1 MFC - Middleweight GPOct / 09 / 2004","Technical Submission (Rear-Naked Choke)N/A","1","1:11",2004-10-09
"1397",225,"Flavio Luiz Moura","win","Kazuki Okubo","M-1 MFC - Middleweight GPOct / 09 / 2004","Submission (Guillotine Choke)N/A","1","1:08",2004-10-09
"1493",225,"Flavio Luiz Moura","win","Everton Barroso Braz","PF 1 - Papucaia FightSep / 11 / 2004","Submission (Guillotine Choke)N/A","0","0:00",2004-09-11
"1584",225,"Flavio Luiz Moura","loss","Thales Leites","VEF 1 - Vitoria Extreme Fighting 1May / 29 / 2004","Submission (Arm-Triangle Choke)N/A","0","0:00",2004-05-29
"1683",225,"Flavio Luiz Moura","win","Gilson Ferreira","BC - Bitetti Combat Nordeste 3Apr / 01 / 2004","Submission (Guillotine Choke)N/A","1","9:10",2004-04-01
"1778",225,"Flavio Luiz Moura","win","Egidio Amaro da Costa","MODVT - Meriti Open de Vale TudoJul / 26 / 2003","TKO (Submission to Punches)N/A","1","0:00",2003-07-26
"1877",225,"Flavio Luiz Moura","loss","Akihiro Gono","Pancrase - Hybrid 5May / 18 / 2003","Decision (Majority)Hirotoshi Okamoto","2","5:00",2003-05-18
"1975",225,"Flavio Luiz Moura","win","Marcos Marcos","BG 1 - Brazilian Gladiators 1Oct / 14 / 2001","Submission (Guillotine Choke)N/A","0","0:00",2001-10-14
"2065",225,"Flavio Luiz Moura","win","Elson Mattos","Heroes - Heroes 2Jun / 30 / 2001","TKO (Punches)N/A","1","5:05",2001-06-30
"21133",225,"Flavio Luiz Moura","win","Marcelo Belmiro","Heroes - Heroes 1Jul / 24 / 2000","DecisionN/A","0","0:00",2000-07-24
"22121",225,"Flavio Luiz Moura","win","Aloisio Barros","Heroes - Heroes 1Jul / 24 / 2000","DecisionN/A","0","0:00",2000-07-24
"23104",225,"Flavio Luiz Moura","win","Milton Bahia","IVC 13 - The New Generation of LightweightsAug / 26 / 1999","TKO (Doctor Stoppage)N/A","1","1:50",1999-08-26
"2463",225,"Flavio Luiz Moura","loss","Paul Jones","UFC 21 - Return of the ChampionsJul / 16 / 1999","Submission (Rear-Naked Choke)John McCarthy","1","4:20",1999-07-16
"2555",225,"Flavio Luiz Moura","win","Nilson de Castro","IVC 11 - The Tournament is BackApr / 27 / 1999","TKO (Cut)N/A","1","4:38",1999-04-27
"2649",225,"Flavio Luiz Moura","win","Carlos Lopes","IVC 11 - The Tournament is BackApr / 27 / 1999","Submission (Rear-Naked Choke)N/A","1","1:57",1999-04-27
"2747",225,"Flavio Luiz Moura","win","Doug Evans","IVC 11 - The Tournament is BackApr / 27 / 1999","TKO (Corner Stoppage)N/A","1","1:59",1999-04-27
"2464",226,"Daiju Takase","loss","Dong Sik Yoon","Road FC 24 - Road Fighting Championship 24Jul / 25 / 2015","Decision (Split)N/A","3","5:00",2015-07-25
"3291",226,"Daiju Takase","loss","Carlos Toyota","RFC - Real Fight Championship 1Dec / 23 / 2014","KO (Punch)N/A","1","1:39",2014-12-23
"4235",226,"Daiju Takase","win","Seung-Bae Whi","Road FC 16 - Road Fighting Championship 16Jul / 26 / 2014","TKO (Punches)N/A","1","4:34",2014-07-26
"5180",226,"Daiju Takase","win","Yuji Sakuragi","Deep - Haleo ImpactDec / 22 / 2012","Submission (Guillotine Choke)Akira Shoji","2","1:33",2012-12-22
"6160",226,"Daiju Takase","win","Brandon Kesler","Dare Fight Sports - Dare 1/12Jan / 07 / 2012","Decision (Unanimous)N/A","3","5:00",2012-01-07
"7147",226,"Daiju Takase","draw","Hoon Kim","Pancrase - Passion Tour 4Apr / 29 / 2010","DrawRyogaku Wada","2","5:00",2010-04-29
"8137",226,"Daiju Takase","win","Mr. X","TFC - Titan Fighting Championship 5Aug / 23 / 2009","Submission (Armbar)Ryogaku Wada","1","2:17",2009-08-23
"9127",226,"Daiju Takase","win","Shuji Morikawa","GCM - Cage Force 11Jun / 27 / 2009","Decision (Split)Minoru Toyonaga","3","5:00",2009-06-27
"10123",226,"Daiju Takase","loss","Masataka Chinushi","Heat - Heat 8Dec / 14 / 2008","KO (Punch)N/A","2","4:57",2008-12-14
"11119",226,"Daiju Takase","loss","Terry Martin","AMMA 1 - Adrenaline MMA 1Jun / 14 / 2008","Disqualification (Low Blows)N/A","2","3:35",2008-06-14
"12113",226,"Daiju Takase","loss","Hector Lombard","X - plosion 13Mar / 18 / 2006","KO (Punch)N/A","1","4:40",2006-03-18
"1398",226,"Daiju Takase","loss","Daniel Acacio","Pride - Bushido 6Apr / 03 / 2005","TKO (Soccer Kicks)N/A","2","3:34",2005-04-03
"1494",226,"Daiju Takase","win","Carlos Newton","Pride - Bushido 3May / 23 / 2004","Decision (Split)N/A","2","5:00",2004-05-23
"1585",226,"Daiju Takase","win","Chris Brennan","Pride - Bushido 2Feb / 15 / 2004","Decision (Unanimous)N/A","2","5:00",2004-02-15
"1684",226,"Daiju Takase","loss","Hayato Sakurai","Pride FC - Shockwave 2003Dec / 31 / 2003","Decision (Unanimous)N/A","3","5:00",2003-12-31
"1779",226,"Daiju Takase","loss","Rodrigo Gracie","Pride - Bushido 1Oct / 05 / 2003","Decision (Unanimous)N/A","2","5:00",2003-10-05
"1878",226,"Daiju Takase","win","Anderson Silva","Pride 26 - Bad to the BoneJun / 08 / 2003","Submission (Triangle Choke)N/A","1","8:33",2003-06-08
"1976",226,"Daiju Takase","loss","Antonio Schembri","Pride FC - The Best, Vol. 2Jul / 20 / 2002","Decision (Split)N/A","2","5:00",2002-07-20
"2066",226,"Daiju Takase","win","Johil de Oliveira","Pride FC - The Best, Vol. 1Feb / 22 / 2002","Decision (Unanimous)N/A","3","5:00",2002-02-22
"21134",226,"Daiju Takase","win","LaVerne Clark","Pancrase - 2001 Neo-Blood Tournament Opening RoundJul / 29 / 2001","Submission (Triangle Choke)N/A","2","0:16",2001-07-29
"22122",226,"Daiju Takase","loss","Kiuma Kunioku","Pancrase - Proof 2Mar / 31 / 2001","Decision (Majority)Soichi Hiroto","3","5:00",2001-03-31
"23105",226,"Daiju Takase","loss","Fabiano Iha","UFC 29 - Defense of the BeltsDec / 16 / 2000","TKO (Strikes)John McCarthy","1","2:24",2000-12-16
"2465",226,"Daiju Takase","loss","Nate Marquardt","Pancrase - Trans 4Jun / 26 / 2000","KO (Knee)Hiromi Okamoto","2","1:30",2000-06-26
"2556",226,"Daiju Takase","win","Daisuke Watanabe","Pancrase - Trans 1Jan / 23 / 2000","Decision (Unanimous)Soichi Hiroto","1","10:00",2000-01-23
"2650",226,"Daiju Takase","loss","Kenichi Yamamoto","UFC 23 - Ultimate Japan 2Nov / 19 / 1999","Decision (Unanimous)John McCarthy","3","5:00",1999-11-19
"2748",226,"Daiju Takase","loss","Ikuhisa Minowa","Pancrase - 1999 Neo-Blood Tournament Opening RoundAug / 01 / 1999","Submission (Triangle Choke)Yoshinori Umeki","1","7:59",1999-08-01
"2844",226,"Daiju Takase","loss","Jeremy Horn","UFC 21 - Return of the ChampionsJul / 16 / 1999","TKO (Punches)John McCarthy","1","4:41",1999-07-16
"2942",226,"Daiju Takase","draw","Daisuke Ishii","Pancrase - Breakthrough 4Apr / 18 / 1999","DrawSoichi Hiroto","1","15:00",1999-04-18
"3039",226,"Daiju Takase","win","Emmanuel Yarborough","Pride FC - Pride 3Jun / 24 / 1998","TKO (Submission to Punches)Takumi Adachi","2","3:22",1998-06-24
"2466",227,"Andre Pederneiras","draw","Genki Sudo","C2K - Colosseum 2000May / 26 / 2000","DrawN/A","1","15:00",2000-05-26
"3292",227,"Andre Pederneiras","draw","Caol Uno","VTJ 1999 - Vale Tudo Japan 1999Dec / 11 / 1999","DrawN/A","3","8:00",1999-12-11
"4236",227,"Andre Pederneiras","loss","Pat Miletich","UFC 21 - Return of the ChampionsJul / 16 / 1999","TKO (Doctor Stoppage)John McCarthy","2","2:20",1999-07-16
"5181",227,"Andre Pederneiras","win","Rumina Sato","VTJ 1998 - Vale Tudo Japan 1998Oct / 25 / 1998","KO (Soccer Kick and Punches)N/A","1","4:20",1998-10-25
"2467",228,"Jens Pulver","loss","Sami Aziz","Superior Challenge 9 - GothenburgNov / 23 / 2013","Decision (Unanimous)N/A","3","5:00",2013-11-23
"3293",228,"Jens Pulver","loss","Masakatsu Ueda","One FC 8 - Kings and ChampionsApr / 05 / 2013","Submission (Brabo Choke)Kenichi Serizawa","2","3:52",2013-04-05
"4237",228,"Jens Pulver","win","Yafei Zhao","One FC 6 - Rise of KingsOct / 06 / 2012","Technical Decision (Unanimous)Yuji Shimada","3","5:00",2012-10-06
"5182",228,"Jens Pulver","loss","Eric Kelly","One FC 5 - Pride of a NationAug / 31 / 2012","TKO (Kick to the Body and Punches)Moritaka Oshiro","2","1:46",2012-08-31
"6161",228,"Jens Pulver","win","Jesse Thorton","CWC - Operation Fight NightApr / 14 / 2012","Decision (Unanimous)Joe Hernandez","3","5:00",2012-04-14
"7148",228,"Jens Pulver","loss","Tim Elliott","RFA 1 - Elliott vs. PulverDec / 16 / 2011","KO (Knee)N/A","2","2:12",2011-12-16
"8138",228,"Jens Pulver","win","Coty Wheeler","MMA Fight Pit - GenesisAug / 13 / 2011","TKO (Punches)Robert Romero","2","1:59",2011-08-13
"9128",228,"Jens Pulver","loss","Brian Davidson","Titan FC 18 - Titan Fighting Championship 18May / 27 / 2011","Submission (Rear-Naked Choke)Mike England","1","4:04",2011-05-27
"10124",228,"Jens Pulver","win","Wade Choate","CCC - Chicago Cagefighting ChampionshipMar / 05 / 2011","Decision (Split)Al Wichgers","3","5:00",2011-03-05
"11120",228,"Jens Pulver","win","Mike Lindquist","XFO - Xtreme Fighting Organization 38Jan / 22 / 2011","Submission (Rear-Naked Choke)Scott Fischer","1","0:49",2011-01-22
"12114",228,"Jens Pulver","loss","Diego Garijo","PWP - War on the MainlandAug / 14 / 2010","Submission (Guillotine Choke)John McCarthy","1","1:08",2010-08-14
"1399",228,"Jens Pulver","loss","Javier Vazquez","WEC 47 - Bowles vs. CruzMar / 06 / 2010","Submission (Armbar)Greg Franklin","1","3:41",2010-03-06
"1495",228,"Jens Pulver","loss","Josh Grispi","WEC 41 - Brown vs. Faber 2Jun / 07 / 2009","Submission (Guillotine Choke)Steve Mazzagatti","1","0:33",2009-06-07
"1586",228,"Jens Pulver","loss","Urijah Faber","WEC 38 - Varner vs. CerroneJan / 25 / 2009","Submission (Guillotine Choke)Jon Schorle","1","1:34",2009-01-25
"1685",228,"Jens Pulver","loss","Leonard Garcia","WEC 36 - Faber vs. BrownNov / 05 / 2008","TKO (Punches)N/A","1","1:12",2008-11-05
"1780",228,"Jens Pulver","loss","Urijah Faber","WEC 34 - SacramentoJun / 01 / 2008","Decision (Unanimous)N/A","5","5:00",2008-06-01
"1879",228,"Jens Pulver","win","Cub Swanson","WEC 31 - Faber vs. CurranDec / 12 / 2007","Submission (Guillotine Choke)Steve Mazzagatti","1","0:35",2007-12-12
"1977",228,"Jens Pulver","loss","B.J. Penn","UFC - The Ultimate Fighter 5 FinaleJun / 23 / 2007","Submission (Rear-Naked Choke)Steve Mazzagatti","2","3:12",2007-06-23
"2067",228,"Jens Pulver","loss","Joe Lauzon","UFC 63 - Hughes vs. Penn 2Sep / 23 / 2006","KO (Punch)Herb Dean","1","0:48",2006-09-23
"21135",228,"Jens Pulver","win","Cole Escovedo","IFL - Legends Championship 2006Apr / 29 / 2006","KO (Punch)N/A","1","0:56",2006-04-29
"22123",228,"Jens Pulver","win","Kenji Arai","Pride - Bushido 10Apr / 02 / 2006","KO (Soccer Kick)N/A","1","3:59",2006-04-02
"23106",228,"Jens Pulver","loss","Hayato Sakurai","Pride - Bushido 9Sep / 25 / 2005","TKO (Punches)N/A","1","8:56",2005-09-25
"2468",228,"Jens Pulver","win","Tomomi Iwama","Pride - Bushido 7May / 22 / 2005","KO (Punch)N/A","1","1:00",2005-05-22
"2557",228,"Jens Pulver","loss","Takanori Gomi","Pride - Shockwave 2004Dec / 31 / 2004","KO (Punch)N/A","1","6:21",2004-12-31
"2652",228,"Jens Pulver","win","Stephen Palling","Shooto Hawaii - Soljah Fight NightJul / 09 / 2004","KO (Punches)N/A","3","1:47",2004-07-09
"2749",228,"Jens Pulver","win","Naoya Uematsu","Shooto - 3/22 in Korakuen HallMar / 22 / 2004","KO (Punch)N/A","1","2:09",2004-03-22
"2845",228,"Jens Pulver","win","Richard Hess","IFC - Battleground BoiseOct / 25 / 2003","Submission (Guillotine Choke)N/A","1","2:14",2003-10-25
